,Vacancy,Salary min,Salary max,Currency,Link,Site,Employer,Place
70,Senior Data Scientist,6000.0,7000.0,USD,https://hh.ru/vacancy/67072851?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Hunt For You,Москва
71,Head of Data Science,,,,https://hh.ru/vacancy/67443753?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Tele2,"Москва, Румянцево"
72,Валидатор моделей банковской и торговой книг (Data scientist),,,,https://hh.ru/vacancy/67399680?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Сбер. Data Science,"Москва, Кутузовская и еще 1 "
73,Lead Data Scientist,,,,https://hh.ru/vacancy/67089452?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Сбер. Data Science,Москва
74,Lead Data Scientist,,,,https://hh.ru/vacancy/67083788?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,INSITECH Development,Москва
75,Lead Data Scientist,,,,https://hh.ru/vacancy/67083789?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,INSITECH Development,Санкт-Петербург
76,Главный эксперт по анализу данных (data analyst/data scientist/аналитик данных),,,,https://hh.ru/vacancy/66526648?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,ПАО АК АЛРОСА,Москва
77,Senior Data scientist / Team lead Data scientist,,,,https://hh.ru/vacancy/67088082?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,"ПАО МегаФон, IT","Москва, Маяковская и еще 2 "
78,Data Scientist,,,,https://hh.ru/vacancy/67054541?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,"БИОКАД, биотехнологическая компания",Санкт-Петербург
79,Data Scientist,,,,https://hh.ru/vacancy/66122051?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,«РОСБАНК»,"Москва, Международная"
80,Senior Data Scientist/ ML Engineer,,350000.0,руб.,https://hh.ru/vacancy/66921653?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Mindbox,"Москва, Белорусская и еще 1 "
81,Senior Data Scientist (Автомодерация),,,,https://hh.ru/vacancy/66952893?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Rutube,"Москва, Проспект Мира и еще 1 "
82,Data Engineer,,,,https://hh.ru/vacancy/66586909?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,«РОСБАНК»,"Москва, Международная"
83,Data Scientist,,,,https://hh.ru/vacancy/55083625?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,"Технологии Доверия, Департамент Консалтинг",Москва
84,Lead/Senior data scientist,,,,https://hh.ru/vacancy/66982068?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,АО РТ Лабс,"Москва, Проспект Вернадского"
85,Senior Data scientist,,,,https://hh.ru/vacancy/54549927?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Okko,Санкт-Петербург
86,Data Scientist в области рекомендательных систем,,,,https://hh.ru/vacancy/67259113?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Сбер. IT,Нижний Новгород
87,Senior Data Scientist,,,,https://hh.ru/vacancy/66863315?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Сбер. IT,"Москва, Кутузовская"
88,Senior Data Scientist,,,,https://hh.ru/vacancy/66555766?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,ООО Транснефть-Технологии,"Москва, Зорге и еще 2 "
89,Senior (Head) Data Scientist,,,,https://hh.ru/vacancy/66954093?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Офисная вакансия Yum! Brands,"Москва, Войковская"
90,Middle/Senior Data Scientist,,,,https://hh.ru/vacancy/66929111?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Северсталь. Управляющая компания,Санкт-Петербург
91,Data scientist,,,,https://hh.ru/vacancy/66911707?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,ООО СберОбразование,Москва
92,Data Scientist (Центр валидации моделей сервисных блоков и экосистемы),,,,https://hh.ru/vacancy/67280113?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Сбер. Data Science,"Москва, Кутузовская и еще 1 "
93,Principal Research Scientist (Montenegro),,,,https://hh.ru/vacancy/67367210?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Кофакс,Санкт-Петербург
94,Chief Data Science (Цифровой кредитный мониторинг),,,,https://hh.ru/vacancy/67328520?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Сбер. Data Science,"Москва, Кутузовская"
95,Lead Data Scientist,,,,https://hh.ru/vacancy/66206307?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Сбер. IT,"Москва, Кутузовская"
96,Middle/Senior Data Scientist (ML),,,,https://hh.ru/vacancy/66929110?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Северсталь. Управляющая компания,Москва
97,Data Scientist / ML-инженер (Big Data),,,,https://hh.ru/vacancy/54996943?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,"ПАО «МТС», IT","Москва, Технопарк"
98,Data Scientist (Валидация скоринговых моделей),,,,https://hh.ru/vacancy/50388691?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Банк ВТБ (ПАО),Москва
99,Senior Data Scientist (оценка моделей),,,,https://hh.ru/vacancy/55307831?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,«РОСБАНК»,Москва
100,Senior Data Scientist,,,,https://hh.ru/vacancy/55532051?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Bell Integrator,Москва
101,Middle / Senior Data Scientist (Computer Vision),,,,https://hh.ru/vacancy/66929304?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Северсталь. Управляющая компания,Москва
102,Data Scientist (middle),,,,https://hh.ru/vacancy/66903198?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,«РОСБАНК»,"Москва, Международная"
103,Senior Data Scientist (команда оценки ALM),,,,https://hh.ru/vacancy/66578548?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Сбер. Data Science,"Москва, Кутузовская и еще 1 "
104,Senior Data Scientist/ML Engineer SberDevices,,,,https://hh.ru/vacancy/53269426?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Сбер для экспертов,Москва
105,Аналитик/Data scientist (Senior),,,,https://hh.ru/vacancy/66703417?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Газпромбанк,Москва
106,Data Scientist (Рекомендательная система),,,,https://hh.ru/vacancy/54682944?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Сбер. IT,Москва
107,Team Lead Data Scientist в СберМаркет [команда поиска],,,,https://hh.ru/vacancy/66906589?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,СберМаркет,Москва
108,Ведущий специалист отдела математического моделирования (Data Scientist),,,,https://hh.ru/vacancy/66795472?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Быстроденьги,Москва
109,Middle/Senior разработчик систем компьютерного зрения (Data Scientist),,,,https://hh.ru/vacancy/55388072?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Университет Иннополис,Казань
110,Data scientist / Machine learning engineer (команда CoreML ВКонтакте),,,,https://hh.ru/vacancy/50605612?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,VK,"Санкт-Петербург, Гостиный двор и еще 1 "
111,Аналитик данных/Middle Data scientist (Computer Vision ),,,,https://hh.ru/vacancy/66815191?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Северсталь. IT & Digital,Москва
112,Data scientist по построению моделей оценки кредитного риска (Big Data),,,,https://hh.ru/vacancy/43366306?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Банк ВТБ (ПАО),"Москва, Выставочная и еще 2 "
113,Team Lead Data Science,,,,https://hh.ru/vacancy/66876832?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,ООО «Газпромнефть-Региональные продажи»,Санкт-Петербург
114,"Middle/Senior разработчик систем обработки естественного языка (NLP, ML/Data Scientist)",,,,https://hh.ru/vacancy/66760058?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Университет Иннополис,Казань
115,Data scientist (модели оценки кредитного риска для клиентов корпоративного бизнеса) Big Data,,,,https://hh.ru/vacancy/55531454?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Банк ВТБ (ПАО),"Москва, Деловой центр и еще 2 "
116,Менеджер по продажам курсов в сфере IT и Digital в Synergy Academy,55000.0,80000.0,руб.,https://hh.ru/vacancy/66979437?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,СИНЕРГИЯ,"Москва, Сокол"
117,Data scientist Управления модельных рисков и валидации,,,,https://hh.ru/vacancy/54585048?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Банк ВТБ (ПАО),Москва
118,Senior Python developer (MLOps),3500.0,,EUR,https://hh.ru/vacancy/66073263?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Wisebits,Новосибирск
119,Senior Python developer (MLOps),3500.0,,EUR,https://hh.ru/vacancy/55856392?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Wisebits,Москва
120,Research Scientist (Center for AgroTechnologies),,,,https://hh.ru/vacancy/66932922?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,The Skolkovo Institute of Science and Technology,"Москва, Славянский бульвар"
121,Junior Data Scientist Управления модельных рисков и валидации,,,,https://hh.ru/vacancy/55373640?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Банк ВТБ (ПАО),Москва
122,Research Scientist in the area of Animal bioinformatics,,,,https://hh.ru/vacancy/67050645?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,The Skolkovo Institute of Science and Technology,"Москва, Славянский бульвар"
123,Data Analyst,,,,https://hh.ru/vacancy/55271924?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,ООО АЙБРЕЙН,Санкт-Петербург
124,Middle/Senior Analyst (remote),,,,https://hh.ru/vacancy/66917839?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Crezu,Москва
125,Software Engineer - Analytics Execution,,,,https://hh.ru/vacancy/67281013?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,COMTEK Inc.,Москва
126,Senior Python Developer (MLOps tool + OpenSource / US-startup),6000.0,8000.0,USD,https://hh.ru/vacancy/66826517?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Hunt For You,Москва
127,SEO-специалист,70000.0,110000.0,руб.,https://hh.ru/vacancy/67419259?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Mego.travel,Санкт-Петербург
128,Старший аналитик Отдел развития хранилищ данных,,,,https://hh.ru/vacancy/54300274?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,НКО Национальный Клиринговый Центр (АО),"Москва, Бауманская"
129,Директор в отделе портфельного риск-анализа (потребительские кредиты),,,,https://hh.ru/vacancy/67261918?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Банк ВТБ (ПАО),"Москва, Выставочная и еще 2 "
130,Python Backend Engineer (ML Platform),7000.0,9000.0,USD,https://hh.ru/vacancy/67155388?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Hunt For You,Москва
131,Statistical Operations Analyst,,,,https://hh.ru/vacancy/67000673?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,NielsenIQ,Москва
132,Аналитик данных (Технологическая оптимизация),,,,https://hh.ru/vacancy/67136086?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Сибур,"Москва, Профсоюзная"
133,Middle+ Communication Designer at Practicum USA,,,,https://hh.ru/vacancy/66104677?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Яндекс Практикум,Санкт-Петербург
134,Middle+ Communication Designer at Practicum USA,,,,https://hh.ru/vacancy/66104676?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Яндекс Практикум,Москва
