,Vacancy,Salary min,Salary max,Currency,Link,Site,Employer,Place
74,"Software Engineer, DeepPavlov Dream",,,,https://russia.superjob.ru/vakansii/vakansii/software-engineer-43471288.html,superjob.ru,МФТИ,Долгопрудный
75,Senior Data Engineer,250000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/senior-data-engineer-43581277.html,superjob.ru,Звездин Илья Сергеевич,Москва
76,DevOps Engineer Middle + / Senior,,,,https://russia.superjob.ru/vakansii/vakansii/devops-engineer-middle-43544460.html,superjob.ru,Human Result,Новосибирск
77,Specialist DevOps,,280000.0,руб.,https://russia.superjob.ru/vakansii/vakansii/specialist-devops-40719996.html,superjob.ru,ALP GROUP,Санкт-Петербург
78,Системный администратор DevOps,,,,https://russia.superjob.ru/vakansii/vakansii/sistemnyj-administrator-devops-43560978.html,superjob.ru,Envybox,Пенза
79,Ведущий инженер по тестированию / QA Senior,120000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/veduschij-inzhener-po-testirovaniyu-43794038.html,superjob.ru,Лартех Телеком,Санкт-Петербург
80,Аналитик,35000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/analitik-43483722.html,superjob.ru,Инжиниринговый Центр РЕГИОНАЛЬНЫЕ СИСТЕМЫ,Волгоград
81,Специалист службы поддержки (с техническими знаниями),15000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/specialist-sluzhby-podderzhki-37985821.html,superjob.ru,Яндекс,Сергиев Посад
82,"DevOps (Middle +, Senior)",180000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/devops-43607101.html,superjob.ru,Human Result,Пенза
83,Software Engineer at OpenSea,,800000.0,руб.,https://russia.superjob.ru/vakansii/vakansii/software-engineer-at-opensea-43578057.html,superjob.ru,Звездин Илья Сергеевич,Москва
84,Техлид / TechLead PHP,,350000.0,руб.,https://russia.superjob.ru/vakansii/vakansii/tehlid-43708595.html,superjob.ru,Modesco,Москва • Смоленская
85,Инженер по тестированию,,,,https://russia.superjob.ru/vakansii/vakansii/inzhener-po-testirovaniyu-43634146.html,superjob.ru,Милур ИС,Нижний Новгород
86,Тестировщик,,,,https://russia.superjob.ru/vakansii/vakansii/testirovschik-43791477.html,superjob.ru,Верме,Москва
87,SysOps / Cloud System Engeneer,,,,https://russia.superjob.ru/vakansii/vakansii/sysops-43678874.html,superjob.ru,Sardina Systems,Владивосток
88,Ведущий системный аналитик,200000.0,250000.0,руб.,https://russia.superjob.ru/vakansii/vakansii/veduschij-sistemnyj-analitik-43498553.html,superjob.ru,НОРСИ-ТРАНС,Москва • Савеловская
89,Специалист по информационным системам,70000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/specialist-po-informacionnym-sistemam-36146717.html,superjob.ru,СПб ГБУЗ Городская больница № 26,"Санкт-Петербург • Ленинский проспект, Московская"
