,Vacancy,Salary min,Salary max,Currency,Link,Site,Employer,Place
70,Машинист башенного крана,95000.0,105000.0,руб.,https://hh.ru/vacancy/67042811?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ЗАО УВН Техника,Москва
71,"Машинист экскаватора (погрузчика, гусеничного, колесного)",120000.0,,руб.,https://hh.ru/vacancy/66109259?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Ярд Империал,Москва
72,Машинист крана автомобильного,110000.0,130000.0,руб.,https://hh.ru/vacancy/66738476?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО СПЕЦТРАНСпроект,Москва
73,Машинист экскаватора-погрузчика JCB3CX (Super),92000.0,135000.0,руб.,https://hh.ru/vacancy/67409436?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,НИП ЭнергоГаз,Москва
74,Машинист экскаватора-погрузчика,80000.0,120000.0,руб.,https://hh.ru/vacancy/66834036?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО МРСУ-1,"Москва, Крылатское"
75,Машинист башенного крана/Оператор - крановщик,90000.0,140000.0,руб.,https://hh.ru/vacancy/67499863?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО ТРС,"Москва, Ховрино"
76,Машинист автокрана,120000.0,120000.0,руб.,https://hh.ru/vacancy/66831027?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Ярд Империал,Москва
77,Машинист катка,100000.0,115000.0,руб.,https://hh.ru/vacancy/67467820?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Трудовые ресурсы,Москва
78,Машинист буровой установки (строительство),110000.0,130000.0,руб.,https://hh.ru/vacancy/67384280?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО БУРИНЖСТРОЙ,Москва
79,Ученик/Машинист автовышки и автогидроподъемника АГП/Водитель автовышки и автогидроподъемника АГП,80000.0,100000.0,руб.,https://hh.ru/vacancy/53416810?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Вектор,Москва
80,Машинист экскаватора-погрузчика,100000.0,100000.0,руб.,https://hh.ru/vacancy/67459857?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Грава,Москва
81,Тракторист-машинист сельскохозяйственного производства,100000.0,170000.0,руб.,https://hh.ru/vacancy/67474167?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Туровский,Москва
82,Машинист башенного крана (крановщик),90000.0,100000.0,руб.,https://hh.ru/vacancy/55574105?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО МАШРЕЗЕРВ,"Москва, Пражская"
83,Машинист мостового крана,60000.0,,руб.,https://hh.ru/vacancy/66659432?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,АО БЕЛУГА ПРОДЖЕКТС ЛОДЖИСТИК,Москва
84,Машинист автокрана,70000.0,90000.0,руб.,https://hh.ru/vacancy/54221439?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО РЕЗЕРВ,Москва
85,Машинист бульдозера,110000.0,130000.0,руб.,https://hh.ru/vacancy/66859289?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО СПЕЦТРАНСпроект,Москва
86,Машинист экскаватора,80000.0,90000.0,руб.,https://hh.ru/vacancy/67371700?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО ООО ПКП ИМПУЛЬС,"Москва, Коломенская"
87,Машинист экскаватора (механизатор),90000.0,110000.0,руб.,https://hh.ru/vacancy/67446377?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО СтройБетонМонолит,Москва
88,Машинист экскаватора погрузчика Terex 825 / JCB 3cx,66000.0,132000.0,руб.,https://hh.ru/vacancy/67491032?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО ПодземСетьСтрой,Москва
89,Машинист экскаватора,54240.0,135600.0,руб.,https://hh.ru/vacancy/66672229?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО УПСК-4,Москва
90,Машинист экскаватора-погрузчика,100000.0,,руб.,https://hh.ru/vacancy/67058625?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО ГАЗСЕРВИС,"Москва, Царицыно"
91,Машинист башенного крана,80000.0,90000.0,руб.,https://hh.ru/vacancy/67473269?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Строительно-Монтажное Управление - 15,Москва
92,Машинист бульдозера,100000.0,120000.0,руб.,https://hh.ru/vacancy/67006987?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО МосТрансАренда,"Москва, Коломенская"
93,Машинист мостового крана,75000.0,,руб.,https://hh.ru/vacancy/66758339?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Универсальные Технологии,"Москва, Шоссе Энтузиастов"
94,Машинист экскаватора,100000.0,,руб.,https://hh.ru/vacancy/67103079?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Строительная компания Сфера,Москва
95,Машинист ВШРА,50000.0,,руб.,https://hh.ru/vacancy/67498844?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,"Пушкинская площадь, Полиграфический комплекс","Москва, Печатники"
96,Машинист бульдозера,90000.0,,руб.,https://hh.ru/vacancy/67371669?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО ООО ПКП ИМПУЛЬС,"Москва, Коломенская"
97,Машинист крана автомобильного,70000.0,100000.0,руб.,https://hh.ru/vacancy/67039339?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Энрайт Проект Строй,Москва
98,Машинист крана автомобильного,75000.0,,руб.,https://hh.ru/vacancy/67446321?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО СтройБетонМонолит,Москва
99,Машинист экскаватора,90000.0,100000.0,руб.,https://hh.ru/vacancy/66661338?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Инжспецстрой 10,Москва
100,Машинист буровой установки,120000.0,170000.0,руб.,https://hh.ru/vacancy/67413348?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Геотехконсалтинг,Москва
101,Машинист оператор автовышки,70000.0,100000.0,руб.,https://hh.ru/vacancy/67474530?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ИП Стерлигова,Москва
102,Машинист электровоза шахтного,120000.0,120000.0,руб.,https://hh.ru/vacancy/55147169?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,АО Трансинжстрой,"Москва, Калужская"
103,Машинист грейферного перегружателя,75000.0,,руб.,https://hh.ru/vacancy/66735640?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО МираЛайн,"Москва, Лесопарковая"
